,interaction_histogram,mse,interaction_spread,timesteps,state,model
0,,,,0,train,cosine_sim2
1,[6. 0. 1. ... 0. 0. 0.],,-939.0,1,train,cosine_sim2
2,[1. 1. 1. ... 0. 0. 0.],,-1.0,2,train,cosine_sim2
3,[1. 0. 2. ... 0. 0. 0.],,0.0,3,train,cosine_sim2
4,[2. 2. 3. ... 0. 0. 0.],,0.0,4,train,cosine_sim2
5,[7. 0. 0. ... 0. 0. 0.],,0.5,5,train,cosine_sim2
6,[1. 1. 0. ... 0. 0. 0.],,0.5,6,train,cosine_sim2
7,[2. 0. 1. ... 0. 0. 0.],,1.0,7,train,cosine_sim2
8,[4. 1. 2. ... 0. 0. 0.],,-0.5,8,train,cosine_sim2
9,[2. 1. 0. ... 0. 0. 0.],,0.0,9,train,cosine_sim2
10,[6. 1. 2. ... 0. 0. 0.],,-1.0,10,train,cosine_sim2
11,[1. 0. 0. ... 0. 0. 0.],0.12260403418804891,13.5,11,run,cosine_sim2
12,[0. 0. 0. ... 0. 0. 0.],0.12577685948061526,0.0,12,run,cosine_sim2
13,[1. 0. 0. ... 0. 0. 0.],0.1284403846909845,-7.0,13,run,cosine_sim2
14,[1. 0. 0. ... 0. 0. 0.],0.13083326762710848,0.0,14,run,cosine_sim2
15,[0. 0. 0. ... 0. 0. 0.],0.1331471572994601,-4.0,15,run,cosine_sim2
16,[0. 0. 0. ... 0. 0. 0.],0.13516196068700598,2.5,16,run,cosine_sim2
17,[0. 1. 0. ... 0. 0. 0.],0.13664925735626476,-1.5,17,run,cosine_sim2
18,[1. 0. 0. ... 0. 0. 0.],0.13794311886131272,0.0,18,run,cosine_sim2
19,[0. 0. 0. ... 0. 0. 0.],0.13914078281419903,0.0,19,run,cosine_sim2
20,[0. 0. 0. ... 0. 0. 0.],0.14010759888323374,1.0,20,run,cosine_sim2
21,[3. 0. 0. ... 0. 0. 0.],0.14084587829202325,1.5,21,run,cosine_sim2
22,[0. 1. 0. ... 0. 0. 0.],0.14134927325463167,-2.0,22,run,cosine_sim2
23,[0. 0. 0. ... 0. 0. 0.],0.14194136933323034,2.5,23,run,cosine_sim2
24,[0. 0. 0. ... 0. 0. 0.],0.14237158901544641,0.0,24,run,cosine_sim2
25,[0. 0. 0. ... 0. 0. 0.],0.1425787072331489,-2.5,25,run,cosine_sim2
26,[0. 0. 0. ... 0. 0. 0.],0.1427045446052062,4.5,26,run,cosine_sim2
27,[0. 0. 0. ... 0. 0. 0.],0.14275825958715577,-5.0,27,run,cosine_sim2
28,[0. 0. 0. ... 0. 0. 0.],0.1425240785961684,1.5,28,run,cosine_sim2
29,[0. 1. 0. ... 0. 0. 0.],0.14233961316915184,0.5,29,run,cosine_sim2
30,[1. 0. 0. ... 0. 0. 0.],0.14196232468452596,1.0,30,run,cosine_sim2
31,[1. 1. 0. ... 0. 0. 0.],0.14155040174766964,1.0,31,run,cosine_sim2
32,[0. 0. 0. ... 0. 0. 0.],0.14104558549633653,1.5,32,run,cosine_sim2
33,[0. 1. 0. ... 0. 0. 0.],0.14047596371573096,-2.0,33,run,cosine_sim2
