,interaction_histogram,mse,interaction_spread,timesteps,state,model
0,,0.0900647209901283,,0,train,cosine_sim
1,[6. 0. 1. ... 0. 0. 0.],0.0941484674923332,-939.0,1,train,cosine_sim
2,[1. 1. 1. ... 0. 0. 0.],0.0978600168215575,-1.0,2,train,cosine_sim
3,[1. 0. 2. ... 0. 0. 0.],0.1017074740977896,0.0,3,train,cosine_sim
4,[2. 2. 3. ... 0. 0. 0.],0.1056320539575702,0.0,4,train,cosine_sim
5,[7. 0. 0. ... 0. 0. 0.],0.1095024420336912,0.5,5,train,cosine_sim
6,[1. 1. 0. ... 0. 0. 0.],0.1136165494987933,0.5,6,train,cosine_sim
7,[2. 0. 1. ... 0. 0. 0.],0.1175626189446075,1.0,7,train,cosine_sim
8,[4. 1. 2. ... 0. 0. 0.],0.1215515704205211,-0.5,8,train,cosine_sim
9,[2. 1. 0. ... 0. 0. 0.],0.1253964466155432,0.0,9,train,cosine_sim
10,[6. 1. 2. ... 0. 0. 0.],0.129583527132739,-1.0,10,train,cosine_sim
11,[1. 0. 0. ... 0. 0. 0.],0.1492858936985075,13.5,11,run,cosine_sim
12,[0. 0. 0. ... 0. 0. 0.],0.1516990658171823,0.0,12,run,cosine_sim
13,[1. 0. 0. ... 0. 0. 0.],0.1535843244012191,-7.0,13,run,cosine_sim
14,[1. 0. 0. ... 0. 0. 0.],0.1552049005085509,0.0,14,run,cosine_sim
15,[0. 0. 0. ... 0. 0. 0.],0.1567959324717505,-4.0,15,run,cosine_sim
16,[0. 0. 0. ... 0. 0. 0.],0.1581086735617592,2.5,16,run,cosine_sim
17,[0. 1. 0. ... 0. 0. 0.],0.1589092776700823,-1.5,17,run,cosine_sim
18,[1. 0. 0. ... 0. 0. 0.],0.1595418909312615,0.0,18,run,cosine_sim
19,[0. 0. 0. ... 0. 0. 0.],0.1600830931710632,0.0,19,run,cosine_sim
20,[0. 0. 0. ... 0. 0. 0.],0.1604379887606602,1.0,20,run,cosine_sim
21,[3. 0. 0. ... 0. 0. 0.],0.1606208413072855,1.5,21,run,cosine_sim
22,[0. 1. 0. ... 0. 0. 0.],0.1605938369458238,-2.0,22,run,cosine_sim
23,[0. 0. 0. ... 0. 0. 0.],0.1606491114581418,2.5,23,run,cosine_sim
24,[0. 0. 0. ... 0. 0. 0.],0.1605783948785551,0.0,24,run,cosine_sim
25,[0. 0. 0. ... 0. 0. 0.],0.160318918608503,-2.5,25,run,cosine_sim
26,[0. 0. 0. ... 0. 0. 0.],0.1599918381891151,4.5,26,run,cosine_sim
27,[0. 0. 0. ... 0. 0. 0.],0.1596346558614357,-5.0,27,run,cosine_sim
28,[0. 0. 0. ... 0. 0. 0.],0.1590261157916016,1.5,28,run,cosine_sim
29,[0. 1. 0. ... 0. 0. 0.],0.1585128342134714,0.5,29,run,cosine_sim
30,[1. 0. 0. ... 0. 0. 0.],0.1578173336241802,1.0,30,run,cosine_sim
31,[1. 1. 0. ... 0. 0. 0.],0.157119933085024,1.0,31,run,cosine_sim
32,[0. 0. 0. ... 0. 0. 0.],0.1563221973283078,1.5,32,run,cosine_sim
33,[0. 1. 0. ... 0. 0. 0.],0.1555229611278896,-2.0,33,run,cosine_sim
34,[0. 0. 0. ... 0. 0. 0.],0.154819972639626,-3.0,34,run,cosine_sim
35,[0. 0. 0. ... 0. 0. 0.],0.154126002682567,4.5,35,run,cosine_sim
36,[0. 0. 0. ... 0. 0. 0.],0.1532050790783922,-3.5,36,run,cosine_sim
37,[0. 0. 0. ... 0. 0. 0.],0.1524195071717,-0.5,37,run,cosine_sim
38,[0. 1. 0. ... 0. 0. 0.],0.1517717430840398,3.0,38,run,cosine_sim
39,[0. 0. 0. ... 0. 0. 0.],0.1508841785870004,-2.0,39,run,cosine_sim
40,[0. 0. 0. ... 0. 0. 0.],0.1498989259483551,3.0,40,run,cosine_sim
41,[0. 0. 0. ... 0. 0. 0.],0.1490695592917514,-1.0,41,run,cosine_sim
42,[0. 0. 0. ... 0. 0. 0.],0.1481614831267987,-0.5,42,run,cosine_sim
43,[0. 0. 0. ... 0. 0. 0.],0.1474357416382123,-2.0,43,run,cosine_sim
44,[0. 0. 0. ... 0. 0. 0.],0.1464470335097173,-1.5,44,run,cosine_sim
45,[0. 0. 0. ... 0. 0. 0.],0.1455294987789067,3.5,45,run,cosine_sim
46,[0. 1. 0. ... 0. 0. 0.],0.1444598170635943,-2.0,46,run,cosine_sim
47,[0. 0. 0. ... 0. 0. 0.],0.1434456772712672,2.5,47,run,cosine_sim
48,[0. 0. 0. ... 0. 0. 0.],0.1425284781486511,2.5,48,run,cosine_sim
49,[0. 1. 0. ... 0. 0. 0.],0.1417358845340691,-2.5,49,run,cosine_sim
50,[0. 1. 1. ... 0. 0. 0.],0.1407878140194195,0.5,50,run,cosine_sim
51,[0. 0. 0. ... 0. 0. 0.],0.1399115070758186,1.5,51,run,cosine_sim
52,[0. 0. 0. ... 0. 0. 0.],0.1391919695085308,-4.5,52,run,cosine_sim
53,[0. 0. 0. ... 0. 0. 0.],0.138270674733655,1.0,53,run,cosine_sim
54,[0. 0. 0. ... 0. 0. 0.],0.1375903975512465,1.0,54,run,cosine_sim
55,[0. 0. 0. ... 0. 0. 0.],0.1369879813875438,-0.5,55,run,cosine_sim
56,[0. 0. 0. ... 0. 0. 0.],0.1364881948023552,2.5,56,run,cosine_sim
57,[0. 0. 0. ... 0. 0. 0.],0.1357736524098288,-4.5,57,run,cosine_sim
58,[0. 0. 0. ... 0. 0. 0.],0.1351209301099844,2.0,58,run,cosine_sim
