,interaction_histogram,mse,interaction_spread,timesteps,state,model
0,,0.09006472099012831,,0,train,entropy
1,[6. 0. 1. ... 0. 0. 0.],0.10756530447622031,-939.0,1,train,entropy
2,[1. 2. 1. ... 0. 0. 0.],0.12229994205694412,-0.5,2,train,entropy
3,[2. 0. 2. ... 0. 0. 0.],0.1359189212651359,0.0,3,train,entropy
4,[2. 1. 3. ... 0. 0. 0.],0.14820187970246693,-0.5,4,train,entropy
5,[8. 0. 0. ... 0. 0. 0.],0.1589796996483823,1.0,5,train,entropy
6,[1. 1. 1. ... 0. 0. 0.],0.16834005661702345,-0.5,6,train,entropy
7,[2. 1. 1. ... 0. 0. 0.],0.17645100994606566,2.0,7,train,entropy
8,[4. 1. 1. ... 0. 0. 0.],0.1828218065021881,-1.5,8,train,entropy
9,[1. 1. 0. ... 0. 0. 0.],0.187501601082394,0.0,9,train,entropy
10,[7. 1. 1. ... 0. 0. 0.],0.19315118703872564,-0.5,10,train,entropy
11,[0. 0. 0. ... 0. 0. 0.],0.19322705143214197,48.0,11,run,entropy
12,[1. 0. 0. ... 0. 0. 0.],0.19103516641887353,-16.5,12,run,entropy
13,[0. 0. 0. ... 0. 0. 0.],0.18780530166107823,-11.5,13,run,entropy
14,[0. 0. 2. ... 0. 0. 0.],0.18376888816515335,-13.0,14,run,entropy
15,[0. 0. 0. ... 0. 0. 0.],0.17843817300626266,-0.5,15,run,entropy
16,[0. 0. 1. ... 0. 0. 0.],0.17236177158983462,-2.0,16,run,entropy
17,[0. 0. 0. ... 0. 0. 0.],0.16563745178252196,2.5,17,run,entropy
18,[0. 0. 0. ... 0. 0. 0.],0.1578696948779839,-2.0,18,run,entropy
19,[0. 0. 0. ... 2. 0. 2.],0.15015789132489707,1.0,19,run,entropy
20,[0. 0. 0. ... 1. 0. 6.],0.14499262284071734,0.0,20,run,entropy
21,[0. 0. 0. ... 0. 0. 1.],0.14168381937148158,6.0,21,run,entropy
22,[0. 0. 0. ... 0. 0. 1.],0.13878428937632625,12.5,22,run,entropy
23,[0. 0. 0. ... 0. 0. 0.],0.13621322709723085,-10.5,23,run,entropy
24,[0. 0. 0. ... 0. 0. 0.],0.13349464539922615,9.0,24,run,entropy
25,[0. 0. 1. ... 0. 1. 1.],0.1312550699395271,-4.0,25,run,entropy
26,[0. 0. 0. ... 0. 0. 3.],0.12882748277058648,2.0,26,run,entropy
27,[0. 0. 0. ... 0. 0. 0.],0.12714401191040792,-1.0,27,run,entropy
28,[0. 0. 0. ... 0. 0. 1.],0.12525275597426283,-1.0,28,run,entropy
29,[0. 0. 0. ... 0. 0. 0.],0.12292688248699667,1.0,29,run,entropy
30,[0. 0. 0. ... 0. 0. 1.],0.1218302028293909,4.5,30,run,entropy
31,[0. 0. 0. ... 0. 0. 2.],0.12109088544623002,-4.5,31,run,entropy
32,[0. 0. 0. ... 0. 0. 1.],0.12051682946062461,2.5,32,run,entropy
33,[0. 0. 0. ... 0. 0. 0.],0.11919624882107997,-4.0,33,run,entropy
34,[0. 0. 0. ... 0. 0. 0.],0.11939959968658136,1.5,34,run,entropy
35,[0. 0. 0. ... 0. 0. 1.],0.11808103596911455,1.5,35,run,entropy
36,[0. 0. 0. ... 0. 0. 1.],0.11805384342446486,-4.5,36,run,entropy
37,[0. 0. 0. ... 0. 0. 1.],0.11804244724579024,5.5,37,run,entropy
38,[0. 0. 0. ... 0. 0. 0.],0.11671246969921185,-1.0,38,run,entropy
39,[0. 0. 0. ... 0. 0. 0.],0.11638158904238353,-1.0,39,run,entropy
40,[0. 0. 0. ... 0. 0. 0.],0.1167788804501457,-3.0,40,run,entropy
41,[0. 0. 0. ... 0. 0. 0.],0.11700281040468163,2.5,41,run,entropy
42,[0. 0. 0. ... 0. 0. 3.],0.11620211985086763,-4.0,42,run,entropy
43,[0. 0. 0. ... 0. 0. 2.],0.11656911323309979,4.5,43,run,entropy
44,[0. 0. 0. ... 0. 0. 0.],0.11758008689897145,0.5,44,run,entropy
45,[0. 0. 0. ... 0. 0. 2.],0.11792816638318156,5.5,45,run,entropy
46,[0. 0. 0. ... 0. 0. 3.],0.1168666385621935,-9.0,46,run,entropy
47,[0. 0. 0. ... 0. 0. 0.],0.11604793455052065,3.5,47,run,entropy
48,[0. 0. 0. ... 0. 0. 2.],0.11618211479844726,0.5,48,run,entropy
49,[0. 0. 0. ... 0. 0. 1.],0.11626965379927431,3.5,49,run,entropy
50,[0. 0. 0. ... 0. 0. 1.],0.11666195735373137,-2.0,50,run,entropy
51,[0. 0. 0. ... 0. 0. 1.],0.11700565638096351,3.0,51,run,entropy
52,[0. 0. 0. ... 0. 0. 2.],0.11639154578470458,-7.0,52,run,entropy
53,[0. 0. 0. ... 0. 0. 0.],0.11647571637524685,8.5,53,run,entropy
54,[0. 0. 0. ... 0. 0. 0.],0.1167810949066708,0.5,54,run,entropy
55,[0. 0. 0. ... 0. 0. 1.],0.11707614512141591,-10.0,55,run,entropy
56,[0. 0. 0. ... 0. 0. 2.],0.11644701031257368,2.5,56,run,entropy
57,[0. 0. 0. ... 0. 0. 2.],0.11661008625832366,4.5,57,run,entropy
58,[0. 0. 0. ... 0. 0. 0.],0.11694017707463733,-2.5,58,run,entropy
59,[0. 0. 0. ... 0. 0. 2.],0.117386796320876,-1.0,59,run,entropy
60,[0. 0. 0. ... 0. 0. 0.],0.1180264229577816,4.0,60,run,entropy
61,[0. 0. 0. ... 0. 0. 0.],0.11821156219190579,-1.5,61,run,entropy
62,[0. 0. 0. ... 0. 0. 0.],0.11842767270732842,2.0,62,run,entropy
63,[0. 0. 0. ... 0. 0. 1.],0.11822718091029831,-3.0,63,run,entropy
64,[0. 0. 0. ... 0. 0. 0.],0.11794517661639405,-2.5,64,run,entropy
65,[0. 0. 0. ... 0. 0. 3.],0.11799281177828778,2.0,65,run,entropy
66,[0. 0. 0. ... 0. 0. 2.],0.11749641044074584,-2.0,66,run,entropy
67,[0. 0. 0. ... 0. 0. 1.],0.11788651948938503,6.0,67,run,entropy
68,[0. 0. 0. ... 0. 0. 1.],0.11775148324852293,-3.0,68,run,entropy
69,[0. 0. 0. ... 0. 0. 0.],0.11829163534284542,-6.0,69,run,entropy
70,[0. 0. 0. ... 0. 0. 1.],0.11828493610215468,2.5,70,run,entropy
71,[0. 0. 0. ... 0. 0. 0.],0.11830412737810779,1.0,71,run,entropy
72,[0. 0. 0. ... 0. 0. 0.],0.11776714397014361,3.5,72,run,entropy
73,[0. 0. 0. ... 0. 0. 1.],0.11792420010254885,-2.0,73,run,entropy
74,[0. 0. 0. ... 0. 0. 2.],0.1174673273657019,-3.0,74,run,entropy
75,[0. 0. 0. ... 0. 0. 0.],0.11745978049730553,1.0,75,run,entropy
76,[0. 0. 0. ... 0. 0. 1.],0.11745154948086985,3.5,76,run,entropy
77,[0. 0. 0. ... 0. 0. 0.],0.1171648378597623,2.0,77,run,entropy
78,[0. 0. 0. ... 0. 0. 0.],0.11695835674059757,-7.5,78,run,entropy
79,[0. 0. 0. ... 0. 0. 1.],0.11703916630550854,5.0,79,run,entropy
80,[0. 0. 0. ... 0. 0. 2.],0.11705927205926063,1.0,80,run,entropy
81,[0. 0. 0. ... 0. 0. 1.],0.11674007090768007,-0.5,81,run,entropy
82,[0. 0. 0. ... 0. 0. 1.],0.1169639363494933,-8.0,82,run,entropy
83,[0. 0. 0. ... 0. 0. 1.],0.11806761349159234,5.5,83,run,entropy
84,[0. 0. 0. ... 0. 0. 1.],0.11708611308675748,5.5,84,run,entropy
85,[0. 0. 0. ... 0. 0. 2.],0.1167185068574246,-10.0,85,run,entropy
86,[0. 0. 0. ... 0. 0. 1.],0.11721239540232342,0.5,86,run,entropy
87,[0. 0. 0. ... 0. 0. 0.],0.11776683807066055,3.0,87,run,entropy
88,[0. 0. 0. ... 0. 0. 1.],0.11806045298691718,-1.5,88,run,entropy
89,[0. 0. 0. ... 0. 0. 2.],0.11764242963979,4.5,89,run,entropy
90,[0. 0. 0. ... 0. 0. 0.],0.11687368066000937,0.5,90,run,entropy
91,[0. 0. 0. ... 0. 0. 1.],0.11744248352023165,-2.0,91,run,entropy
92,[0. 0. 0. ... 0. 0. 0.],0.11752780838550633,0.0,92,run,entropy
93,[0. 0. 0. ... 0. 0. 2.],0.1170804413030431,0.0,93,run,entropy
94,[0. 0. 0. ... 0. 0. 1.],0.11746244946039266,-2.5,94,run,entropy
95,[0. 0. 0. ... 0. 0. 2.],0.11709290855645733,2.5,95,run,entropy
96,[0. 0. 0. ... 0. 0. 1.],0.11724015042081402,-1.0,96,run,entropy
97,[0. 0. 0. ... 0. 0. 1.],0.11728994655330777,-3.5,97,run,entropy
98,[0. 0. 0. ... 0. 0. 2.],,4.0,98,run,entropy
99,[0. 0. 0. ... 0. 0. 2.],,2.5,99,run,entropy
100,[0. 0. 0. ... 0. 0. 0.],,0.0,100,run,entropy
101,[0. 0. 0. ... 0. 0. 0.],,-6.0,101,run,entropy
102,[0. 0. 0. ... 0. 0. 1.],,2.5,102,run,entropy
103,[0. 0. 0. ... 0. 0. 1.],,-2.5,103,run,entropy
104,[0. 0. 0. ... 0. 0. 0.],,5.0,104,run,entropy
105,[0. 0. 0. ... 0. 0. 0.],,-2.0,105,run,entropy
106,[0. 0. 0. ... 0. 0. 2.],,-4.5,106,run,entropy
107,[0. 0. 0. ... 0. 0. 2.],,4.0,107,run,entropy
108,[0. 0. 0. ... 0. 0. 1.],,1.5,108,run,entropy
109,[0. 0. 0. ... 0. 0. 0.],,-0.5,109,run,entropy
110,[0. 0. 0. ... 0. 0. 2.],,0.0,110,run,entropy
