,interaction_histogram,mse,interaction_spread,timesteps,state,model
0,,0.0900647209901283,,0,train,myopic
1,[6. 0. 1. ... 0. 0. 0.],0.0984756038994116,-939.0,1,train,myopic
2,[1. 1. 1. ... 0. 0. 0.],0.1060198181423403,-0.5,2,train,myopic
3,[2. 0. 2. ... 0. 0. 0.],0.1137269127777749,-0.5,3,train,myopic
4,[2. 2. 3. ... 0. 0. 0.],0.1214676233174879,0.0,4,train,myopic
5,[7. 0. 0. ... 0. 0. 0.],0.1290237793093909,0.5,5,train,myopic
6,[1. 1. 0. ... 0. 0. 0.],0.1363527353615352,0.5,6,train,myopic
7,[2. 1. 1. ... 0. 0. 0.],0.1433960167945615,1.5,7,train,myopic
8,[4. 1. 1. ... 0. 0. 0.],0.1501649180699066,-1.5,8,train,myopic
9,[2. 1. 0. ... 0. 0. 0.],0.1561438635617028,0.0,9,train,myopic
10,[6. 1. 1. ... 0. 0. 0.],0.16292687085423,-0.5,10,train,myopic
11,[3. 0. 2. ... 0. 0. 0.],1.1279240728144837,22.5,11,run,myopic
12,[0. 0. 3. ... 0. 0. 0.],1.1750033479955364,-4.5,12,run,myopic
13,[2. 0. 1. ... 0. 0. 0.],1.2101838491942545,-6.5,13,run,myopic
14,[3. 0. 3. ... 0. 0. 0.],1.2336003664243846,-1.0,14,run,myopic
15,[0. 0. 6. ... 0. 0. 0.],1.25061929590937,-2.0,15,run,myopic
16,[0. 0. 2. ... 0. 0. 0.],1.261148262451991,2.5,16,run,myopic
17,[0. 0. 4. ... 0. 0. 0.],1.267258316408027,-7.5,17,run,myopic
18,[1. 0. 1. ... 0. 0. 0.],1.2710942118088402,3.0,18,run,myopic
19,[1. 0. 2. ... 0. 0. 1.],1.274247761491227,-2.0,19,run,myopic
20,[0. 0. 1. ... 0. 0. 0.],1.2762024201693307,5.0,20,run,myopic
21,[0. 0. 2. ... 0. 0. 4.],1.2788772954984735,-4.5,21,run,myopic
22,[1. 0. 1. ... 2. 0. 1.],1.2815000162560852,0.0,22,run,myopic
23,[0. 0. 0. ... 1. 0. 6.],1.2841159079153228,2.5,23,run,myopic
24,[0. 0. 2. ... 0. 0. 4.],1.2867613094696306,-4.0,24,run,myopic
25,[0. 0. 2. ... 0. 0. 5.],1.2892179821798684,2.0,25,run,myopic
26,[0. 0. 1. ... 0. 0. 7.],1.292271524798506,-1.0,26,run,myopic
27,[0. 0. 2. ... 0. 0. 1.],1.294836029373836,1.0,27,run,myopic
28,[0. 0. 1. ... 0. 0. 2.],1.297306427920133,0.0,28,run,myopic
29,[0. 0. 0. ... 0. 1. 2.],1.299596875133419,-1.0,29,run,myopic
30,[1. 0. 0. ... 0. 0. 2.],1.3024191513233228,1.0,30,run,myopic
31,[0. 0. 0. ... 0. 0. 3.],1.305079873165408,-1.5,31,run,myopic
32,[0. 0. 0. ... 2. 0. 5.],1.3074239888161865,1.0,32,run,myopic
33,[1. 0. 1. ... 0. 0. 1.],1.310020234638077,-0.5,33,run,myopic
34,[0. 0. 1. ... 1. 0. 2.],1.3121735859776444,1.0,34,run,myopic
35,[1. 0. 1. ... 0. 0. 3.],1.3141765723017678,2.5,35,run,myopic
36,[0. 0. 1. ... 1. 0. 2.],1.3164846054967942,-3.0,36,run,myopic
37,[1. 0. 0. ... 1. 0. 2.],1.3187004982655772,1.5,37,run,myopic
38,[0. 0. 0. ... 1. 0. 2.],1.3207417483220338,1.0,38,run,myopic
39,[0. 0. 0. ... 1. 0. 1.],1.3230755892250732,-3.5,39,run,myopic
40,[2. 0. 1. ... 0. 1. 2.],1.3247234177801788,-0.5,40,run,myopic
41,[0. 0. 2. ... 1. 0. 3.],1.3264266503821738,0.0,41,run,myopic
42,[0. 0. 1. ... 1. 0. 3.],1.3282289115377997,2.0,42,run,myopic
43,[2. 0. 0. ... 2. 0. 0.],1.3301163884780458,-1.0,43,run,myopic
44,[1. 0. 3. ... 0. 0. 3.],1.331460430483575,1.5,44,run,myopic
45,[3. 0. 1. ... 1. 0. 5.],1.3328573794875849,1.5,45,run,myopic
46,[1. 0. 2. ... 1. 0. 1.],1.3340660181030122,-2.5,46,run,myopic
47,[0. 0. 1. ... 0. 0. 3.],1.3351301101497373,0.5,47,run,myopic
48,[0. 0. 1. ... 2. 0. 2.],1.3362683773439576,2.0,48,run,myopic
