interaction_histogram,mse,interaction_spread,inter_cluster_interaction_similarity_USER:TOPIC,intra_cluster_interaction_similarity_USER:TOPIC,inter_cluster_rec_similarity_USER:TOPIC,intra_cluster_rec_similarity_USER:TOPIC,inter_cluster_interaction_similarity_USER:USER,intra_cluster_interaction_similarity_USER:USER,inter_cluster_rec_similarity_USER:USER,intra_cluster_rec_similarity_USER:USER,intra_user_to_topic_cluster_cos_sim,intra_user_cluster_cos_sim,user_cluster_avg_distance_from_centroid,timesteps,state,model
,0.09006472099012831,,,,,,,,,,"[[0.74958026]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.67076363]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.24701858]]","[[0.28746454]
 [0.74417884]
 [0.86842147]
 [0.        ]
 [1.09939465]
 [0.73848362]
 [0.95670425]
 [0.74523595]
 [1.14096218]
 [0.51415514]]","[[0.26933536]
 [0.78453322]
 [0.79894427]
 [0.        ]
 [0.84302091]
 [0.84248565]
 [0.85773275]
 [0.68300259]
 [1.07068763]
 [0.5048541 ]]",0,train,myopic
[6. 0. 1. ... 0. 0. 0.],0.09847560389941161,-939.0,0.0008798543689320385,0.001478624392924956,0.0030668043490604314,0.0031797875059876727,0.001330713915041883,0.0015942835186640043,0.0031753478346708414,0.0031653002268513244,"[[0.76596376]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.69320215]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.269267  ]]","[[0.31048071]
 [0.74250328]
 [0.86200687]
 [0.        ]
 [1.08567181]
 [0.74093275]
 [0.94970559]
 [0.74981845]
 [1.12495979]
 [0.5306244 ]]","[[0.2653766 ]
 [0.78948245]
 [0.81710468]
 [1.30693803]
 [0.93553361]
 [0.8406079 ]
 [0.88842525]
 [0.68121913]
 [1.18864728]
 [0.49766288]]",1,train,myopic
[1. 1. 1. ... 0. 0. 0.],0.10601981814234036,-0.5,0.0014158576051779969,0.0018693573739500529,0.0030228027593255757,0.003116096736722503,0.0016630835001358922,0.0021027720270148605,0.003098641472267147,0.0031254680943835125,"[[0.77793407]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.71475589]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.29202909]]","[[0.3313962 ]
 [0.73990973]
 [0.85732513]
 [0.        ]
 [1.07581257]
 [0.74639332]
 [0.94629914]
 [0.75040399]
 [1.11086893]
 [0.54724167]]","[[0.26217946]
 [0.80199805]
 [0.84140636]
 [1.81390907]
 [1.02346334]
 [0.84034337]
 [0.92483592]
 [0.68833945]
 [1.3326572 ]
 [0.49174563]]",2,train,myopic
[2. 0. 2. ... 0. 0. 0.],0.11372691277777491,-0.5,0.0022724514563106767,0.0025447904025605304,0.0030883041770618084,0.003136730230301505,0.0023278226703238878,0.0028289930207085756,0.00314724839307152,0.0031113036294675082,"[[0.8000997 ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.73990447]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.31667796]]","[[0.35512443]
 [0.73986039]
 [0.85082009]
 [0.        ]
 [1.07282671]
 [0.74831669]
 [0.94555117]
 [0.75347422]
 [1.10308352]
 [0.56184235]]","[[0.25881653]
 [0.81763879]
 [0.8779709 ]
 [2.74167669]
 [1.11438268]
 [0.85109737]
 [0.96887817]
 [0.69686093]
 [1.45315142]
 [0.48823665]]",3,train,myopic
[2. 2. 3. ... 0. 0. 0.],0.1214676233174879,0.0,0.0030209778085991375,0.003280118836561154,0.003000624538693089,0.0031383046803061944,0.0029999752885069785,0.0036645581598070275,0.0031326637666245012,0.00312100766887166,"[[0.81596519]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.76285137]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.34099147]]","[[0.37719069]
 [0.74074669]
 [0.84599911]
 [0.        ]
 [1.05483791]
 [0.75230684]
 [0.93257219]
 [0.75828018]
 [1.07988321]
 [0.58266233]]","[[0.25606858]
 [0.83763367]
 [0.91120568]
 [2.75827005]
 [1.25858189]
 [0.86391497]
 [1.03879107]
 [0.70670996]
 [1.6385748 ]
 [0.48329075]]",4,train,myopic
[7. 0. 0. ... 0. 0. 0.],0.12902377930939096,0.5,0.0038059600862998047,0.004019739851819462,0.003161758443796611,0.0031428406356331976,0.0037675760496215347,0.004369464691590484,0.0031573816354543245,0.0031239194725229155,"[[0.81819691]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.77581812]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.36528915]]","[[0.39876138]
 [0.74142283]
 [0.84112216]
 [0.        ]
 [1.04563891]
 [0.75453182]
 [0.92266756]
 [0.7587526 ]
 [1.07086404]
 [0.59904362]]","[[0.2536307 ]
 [0.85657405]
 [0.95388346]
 [2.93533421]
 [1.37595369]
 [0.8803212 ]
 [1.11343791]
 [0.7248981 ]
 [1.76310382]
 [0.48115705]]",5,train,myopic
[1. 1. 0. ... 0. 0. 0.],0.13635273536153525,0.5,0.004594733745219136,0.004848449474694297,0.003213358030999914,0.0031036115656970123,0.0045840943350013924,0.005209487359820035,0.003127160422705518,0.0030879223985226037,"[[0.83838841]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.80246091]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.38895324]]","[[0.42042015]
 [0.74326083]
 [0.83557249]
 [0.        ]
 [1.04634033]
 [0.75788956]
 [0.91962079]
 [0.76272823]
 [1.06221092]
 [0.61297069]]","[[0.2513479 ]
 [0.88224782]
 [0.99774702]
 [3.53394978]
 [1.48668282]
 [0.89911   ]
 [1.17472544]
 [0.74024829]
 [1.92525455]
 [0.48102479]]",6,train,myopic
[2. 1. 1. ... 0. 0. 0.],0.14339601679456157,1.5,0.005299069862176571,0.005666180940324366,0.0031996962470903028,0.0031220414985361784,0.0053545442621723525,0.006078936136915491,0.003133263064966005,0.0031193584359092944,"[[0.84376897]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.80540003]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.41106504]]","[[0.44002222]
 [0.75474543]
 [0.83101843]
 [0.        ]
 [1.03719338]
 [0.75856338]
 [0.91821271]
 [0.76310161]
 [1.04423193]
 [0.62546036]]","[[0.24962701]
 [0.89633257]
 [1.04453893]
 [3.82669016]
 [1.61288848]
 [0.92203829]
 [1.23336545]
 [0.76335614]
 [2.0988004 ]
 [0.48190778]]",7,train,myopic
[4. 1. 1. ... 0. 0. 0.],0.15016491806990667,-1.5,0.005989499982218068,0.006509047394468737,0.0031640649787423886,0.0031063873494991093,0.006146788442731376,0.006971308967602982,0.003115602890434512,0.0031030318186885722,"[[0.85626247]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.81871984]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.43347869]]","[[0.46071152]
 [0.75352051]
 [0.82702102]
 [0.        ]
 [1.02391464]
 [0.76693865]
 [0.91334514]
 [0.76650611]
 [1.03876685]
 [0.64152969]]","[[0.24774359]
 [0.92306448]
 [1.09206311]
 [4.417574  ]
 [1.73355195]
 [0.93976233]
 [1.30098009]
 [0.78466808]
 [2.23446009]
 [0.48159487]]",8,train,myopic
[2. 1. 0. ... 0. 0. 0.],0.1561438635617028,0.0,0.006654188677898242,0.007307022319378971,0.0030146724845619478,0.003152734907793385,0.006918667311245338,0.007784464453601916,0.003133527011256833,0.003156355702627211,"[[0.8685636 ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.82503247]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.45477842]]","[[0.47958706]
 [0.76053944]
 [0.83061377]
 [0.        ]
 [1.02643842]
 [0.77511507]
 [0.90926443]
 [0.77168482]
 [1.03007772]
 [0.6511994 ]]","[[0.24633542]
 [0.94575301]
 [1.13241361]
 [4.98652978]
 [1.82290252]
 [0.95516481]
 [1.37022523]
 [0.80149504]
 [2.39036699]
 [0.4843539 ]]",9,train,myopic
