,interaction_histogram,mse,cos_sim,timesteps,state,model
0,,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 ...
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]",0,train,cosine_sim2
1,[6. 0. 1. ... 0. 0. 0.],,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 ...
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]",1,train,cosine_sim2
2,[1. 1. 1. ... 0. 0. 0.],,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 ...
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]",2,train,cosine_sim2
3,[1. 0. 2. ... 0. 0. 0.],,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 ...
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]",3,train,cosine_sim2
4,[2. 2. 3. ... 0. 0. 0.],,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 ...
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]",4,train,cosine_sim2
5,[7. 0. 0. ... 0. 0. 0.],,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 ...
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]",5,train,cosine_sim2
6,[1. 0. 0. ... 0. 0. 0.],112.16859009870927,"[[ 74.75680466  76.96797242 144.54628889 ...  36.98706858  36.45066883
   75.78003024]
 [115.59523202 115.03229925 138.27529995 ...  69.11605235  78.6115025
  103.4117785 ]
 [ 61.59578733 124.30937322 140.9322071  ... 101.60111749  64.60220677
  127.25527615]
 ...
 [126.87875945  36.94231664 107.55061895 ...  72.3694589  133.07156555
  116.71148371]
 [ 74.38863473  44.27147717 113.08291707 ...  73.90758113  12.91234505
   80.96038772]
 [123.6956873   45.95191159  69.30018156 ... 121.08628611 102.32692799
  150.50185279]]",6,run,cosine_sim2
7,[0. 0. 0. ... 0. 0. 0.],115.39494715306547,"[[165.36482665 144.33409781 184.61764021 ... 166.0978267  113.28217557
  197.80293913]
 [183.80213733 178.24480158 156.1216312  ... 103.64942939 132.87028618
  166.34501024]
 [ 61.59578733 124.30937322 140.9322071  ... 101.60111749  64.60220677
  127.25527615]
 ...
 [211.06809915  88.22175949 178.95156134 ... 160.90941793 221.37008996
  201.2725198 ]
 [ 91.13777926  67.38320318 117.0619597  ...  71.96315373  24.96626603
   96.0247241 ]
 [121.99831954  52.35599443  93.19773001 ... 119.37429237 112.95343457
  166.19294845]]",7,run,cosine_sim2
8,[1. 0. 0. ... 0. 0. 0.],105.86579447134264,"[[ 92.37927858 155.23695245  99.49241637 ...  81.9155802  129.44506229
  112.47456932]
 [239.82459306 247.92563772 191.45687215 ... 200.43708749 185.34143045
  216.60964135]
 [ 41.90594    132.97264215 140.87794431 ... 122.72341424  43.95132066
   96.56366427]
 ...
 [244.76569616 102.77897474 281.15353285 ... 232.75796643 256.71242786
  312.84485832]
 [ 63.40379654  78.29584933  72.92625064 ...  76.15868136  14.68157822
   91.36298009]
 [173.43456658  74.67176029 160.10017083 ... 177.35480805 162.03602808
  215.33775482]]",8,run,cosine_sim2
9,[0. 1. 0. ... 0. 0. 0.],96.846474449147,"[[114.49450738 163.0680742  109.29584065 ...  70.50595537 150.0606629
   76.85289098]
 [121.85222462 148.73627502 104.45340937 ...  52.11907916 160.44237152
   66.42059277]
 [ 43.83531614 156.9575573  107.666539   ...  75.54442782  74.39193339
   47.32872812]
 ...
 [162.56258352 150.34682699 159.85018861 ... 111.98550744 156.68035471
  133.48921353]
 [ 77.76788047  77.04037535  84.41749058 ...  86.36179155  27.62351187
  101.02191887]
 [ 89.24103284  81.41796988 110.18266771 ...  78.18827912 126.77928726
   91.69516274]]",9,run,cosine_sim2
