model,training_type,user_cluster_assignments_initial,user_cluster_assignments_final,user_cluster_switches,user_topic_cluster_assignments_initial,user_topic_cluster_assignments_final,user_topic_cluster_switches
baseline_myopic,single_training,15,8,434,5,9,149
baseline_myopic,repeated_training,15,7,437,5,9,128
repeated_items_repeat_interactions,single_training,15,9,425,5,14,258
repeated_items_repeat_interactions,repeated_training,15,9,426,5,14,241
probabilistic,single_training,15,6,433,5,9,152
probabilistic,repeated_training,15,9,443,5,9,133
random,single_training,15,5,417,5,10,201
random,repeated_training,15,6,423,5,9,206
random_interleaving,single_training,15,6,417,5,10,181
random_interleaving,repeated_training,15,5,427,5,10,181
xquad_binary_0.1,single_training,15,6,434,5,10,142
xquad_binary_0.1,repeated_training,15,7,435,5,8,134
xquad_binary_0.25,single_training,15,6,439,5,10,179
xquad_binary_0.25,repeated_training,15,7,437,5,8,110
xquad_smooth_0.1,single_training,15,7,436,5,9,138
xquad_smooth_0.1,repeated_training,15,6,434,5,11,135
xquad_smooth_0.25,single_training,15,7,433,5,10,140
xquad_smooth_0.25,repeated_training,15,6,434,5,10,134
